title,number,additions,deletions,changedFiles,body,comments,participants,createdAt,closedAt,mergedAt,bodyCharNumber,analysisTime
Merge pull request #1 from TheAlgorithms/master,683,0,0,0,get the new code,1,2,2019-01-10T02:21:53Z,2019-01-10T11:55:06Z,,16,0 days 09:33:13
Rename Directed and Undirected (Weighted) Graph to Directed and Undir…,686,0,0,1,…ected (Weighted) Graph.py,0,2,2019-01-25T20:17:17Z,2019-01-26T13:09:19Z,2019-01-26T13:09:19Z,26,0 days 16:52:02
Update factorial_python.py,688,17,14,1,"- Add try/except to catch ""ValueError: invalid literal for int() with base 10: '(user input)'"" exception.",2,3,2019-01-31T02:26:52Z,2019-12-16T00:08:41Z,,105,318 days 21:41:49
Add LCA and Dinic Algorithms ,691,115,0,2,,1,1,2019-02-08T13:34:46Z,2019-12-11T17:39:46Z,,0,306 days 04:05:00
Made function docs slightly clearer and conformant to Python REPL,692,5,4,1,"Also, would you like for me to simplify the return to `return -num if num < 0 else num`? Seems just as clear to me.",2,2,2019-02-09T22:35:13Z,2019-12-08T06:01:36Z,,115,301 days 07:26:23
Added hill_cipher.py,694,167,0,1,A python class that implements the Hill cipher algorithm.,0,2,2019-02-10T12:20:21Z,2019-02-21T16:19:54Z,,57,11 days 03:59:33
Fixed a few grammar errors and complexity notations in readme,695,47,47,1,,0,1,2019-02-10T23:55:45Z,2019-02-24T13:08:35Z,,0,13 days 13:12:50
Added hill_cipher.py,696,167,0,1,A python class that implements the Hill cipher algorithm.,0,2,2019-02-11T13:46:53Z,2019-02-21T16:19:28Z,2019-02-21T16:19:28Z,57,10 days 02:32:35
Adding function for actual level order traversal,699,39,9,1,,1,2,2019-02-12T20:16:41Z,2019-02-16T16:16:43Z,2019-02-16T16:16:43Z,0,3 days 20:00:02
Update caesar_cipher.py,702,3,3,1,,0,2,2019-02-16T07:21:00Z,2019-02-19T15:26:09Z,2019-02-19T15:26:09Z,0,3 days 08:05:09
added the dijkstra algorithm,704,47,0,1,,0,2,2019-02-17T20:59:08Z,2019-02-18T15:35:46Z,2019-02-18T15:35:46Z,0,0 days 18:36:38
Bitmasking and DP added,705,90,0,1,Added Bitmask and DP code for resolving issue #703.,1,2,2019-02-18T13:36:50Z,2019-03-27T17:59:32Z,2019-03-27T17:59:32Z,51,37 days 04:22:42
"Cleanup PEP-8 , additional comments , using coin_val, instead of rang…",706,9,4,1,…e and index.,0,2,2019-02-20T04:53:38Z,2019-02-20T16:54:26Z,2019-02-20T16:54:26Z,13,0 days 12:00:48
Initialize on_the_way_back = False to avoid undefined name,707,4,8,2,Fixes #687,0,2,2019-02-20T05:42:03Z,2019-02-25T15:41:49Z,,10,5 days 09:59:46
Fixing comments + adding start_with to trie (since thats what tries excel at),709,22,4,1,,1,2,2019-02-21T02:20:04Z,2019-12-14T00:06:50Z,,0,295 days 21:46:46
adding RPN calculator,711,84,0,1,"Hello, I've created a reversed polish notation converter & calculator. I think it'll be a nice addon to the repo.
Hope you like it",1,1,2019-02-21T14:41:02Z,2019-12-12T00:09:58Z,,131,293 days 09:28:56
Create MobiusFunction.py,713,39,0,1,,2,3,2019-02-21T19:22:34Z,2019-12-12T00:09:57Z,,0,293 days 04:47:23
Package project,714,137,14,79,"Hello! This turned into a bit of an essay, sorry :)

This PR fixes #708, and is mostly meant to give the maintainers of this project an idea of what we are doing on our end. We realize that this may prove too disruptive to the project as a whole, especially in such a short time, but think that this is the right direction to take it in the long run.

The intention of this PR is to move the project toward a proper Python package, which was the only way my group and I could find to make #309 possible. It does the following:

* Move all files into a single top-level directory called `thealgorithms` (529dc79)
    - Also adds `__init__.py` files to all directories (some already had them), making them Python packages/subpackages
    - This is responsible for the 300+ file changes, you will find that all but a handful of pre-existing files have just been moved
* Add a test that finds all modules in `thealgorithms` and tries to import them (5fb67c2)
    - Note that this fails, see #710 
* Add a setup.py file such that the package can be installed, along with currently known dependencies (ebbb816)
    - This also allows Travis to run tests on the whole package
    - Note that `setup.py` currently requires Python 2.7 or 3.6+ to install. This is easily tuned by changing `python_requires` in `setup.py`.
* Update the `.travis.yml` file to run every test in the `tests` directory.
* Minimal changes to one of the graph algorithms just to pass Flake8 (had undefined names) (e7d121b)

Gathering everything in a package like this sacrifices some accessibility for absolute beginners, but has many benefits in our eyes. It allows for unified testing of the whole project in CI, making it much easier for maintainers to quickly check the quality of pull requests. Given that the project is well over 10000 lines of code by now, maintainability is important. It also makes the more complicated and dependency-heavy parts of the library easier to use, as the `setup.py` file allows one to install the whole package with dependencies using pip. Instructions for how to install should reasonably be added to `README.md`, but we kept it in `setup.py` for now.

Note that, as a package, this is currently broken. Some parts support Python 3 only, some parts Python 2 only, and a few parts successfully support both. Only about 2/3 of the modules can be imported ""properly"" from the root of the project (and thus, from the package) at this time. For the reasons mentioned in #710, my group and I will primarily work on getting Python 3 support up and running, and migrating any existing tests into the `tests` directory. Our goal is to have every module be importable on a package, and having at least some functional tests running on Travis, by Tuesday next week.",4,4,2019-02-22T21:07:45Z,2019-04-30T16:13:58Z,,2778,66 days 19:06:13
added naive string search algorithm,715,29,0,1,,0,2,2019-02-23T13:15:54Z,2019-02-23T14:18:21Z,2019-02-23T14:18:21Z,0,0 days 01:02:27
organized graph algorithms and number theory folder for factorial.py,717,1,1,11,,2,2,2019-02-23T14:47:59Z,2019-02-24T13:08:17Z,,0,0 days 22:20:18
organized graph algorithms,718,0,0,25,now all graph algorithms are inside one folder. also created number theory folder and moved factorial.py to that.,0,2,2019-02-24T13:49:10Z,2019-02-25T08:43:41Z,,113,0 days 18:54:31
Added extended euclidean algorithm,720,51,0,1,Added the extended euclidean algorithm to the Maths directory.,1,2,2019-02-25T18:43:25Z,2019-02-27T14:29:00Z,2019-02-27T14:29:00Z,62,1 days 19:45:35
fix comma spelling from coma to comma,722,1,1,1,,0,2,2019-02-26T20:02:34Z,2019-02-27T14:33:30Z,2019-02-27T14:33:30Z,0,0 days 18:30:56
Centralized tests for sorting algorithms,723,514,64,89,"@poyea We bit off a bit more than we could chew, but we managed to finish parts of the unified test suite. I will try to bring it in bite-sized chunks, starting with this, if there is interest from your part. Our whole set of changes was a whopping 3800+/1400- lines.

This PR builds on #714, and the comments there are still applicable here. Additionally, this PR adds:

### Tests
* The import tests (just testing to import every module) have been removed to focus on the sorting part only (939c299)
* Generic tests for out-of-place sorting algorithms (7edc521)
    - These tests are parameterized by function name. Any sorting function that just takes a collection can be added to the test suite bu adding it to the `SORTS` list.
* Generic tests for in-place sorting algorithms (e4f9103)
    - Same case as above, in-place sorting algorithms can be tested by adding them to the `SORTS` list.
* Tests for bogosort (e5c68a8)
    - Since bogosort is non-deterministic, running it on large lists is... inadvisable.

### Bugfixes
* Fix for bucket_sort crash on empty input (bd61f06)
* Fix for timsort crash empty input (a9f9069)
* FIx for merge_sort_fastest destroying the input list (2e382d0)
    - On a side note, this merge sort is O(n^2), not O(n) as it claims, because of the removals from the original list.
* Fix for a rare edge case in comb_sort (1b7a82d)
* Fix for tree_sort discarding duplicate elements (b46d67a)
* Some minor fixes in files to make them importable from the root of the project

### Broken algorithms
* timsort
    - There are some edge-cases where timsort fails to sort properly, We don't know why.
* radix_sort
    - Fails most tests, it appears that it cannot handle negative numbers (at the very least, may be more problems).

### Notes
* Test logs for this PR can be found here: https://travis-ci.com/slarse/Python/jobs/180885215",0,3,2019-02-27T09:44:46Z,2019-04-30T16:14:36Z,,1887,62 days 06:29:50
Created a generalized algo to edmonds karp,724,182,0,1,"Edmonds Karp algorithm is traditionally with only one source and one sink. What do you do if you have multiple sources and sinks? This algorithm is a generalized algorithm that regardless of however many sinks and sources you have, will allow you to use this algorithm. It does this by using the traditional algorithm but adding an artificial source and sink that allows with ""infinite"" weight.",0,3,2019-02-28T03:15:19Z,2019-04-25T11:48:15Z,2019-04-25T11:48:15Z,394,56 days 08:32:56
Update basic_binary_tree.py,725,4,4,1,I have added the comments for better understanding.,0,2,2019-03-02T07:20:45Z,2019-03-07T15:53:29Z,2019-03-07T15:53:29Z,51,5 days 08:32:44
Update heap.py,726,7,6,1,Added comments for the better understanding of heap.,0,2,2019-03-02T07:31:18Z,2019-03-04T08:49:37Z,2019-03-04T08:49:37Z,52,2 days 01:18:19
Add animation for heap sort.,730,2,0,1,I want to enhance the README.md file.,0,3,2019-03-06T01:46:10Z,2019-04-19T15:31:07Z,2019-04-19T15:31:07Z,37,44 days 13:44:57
add longest common ancestor in data structures,731,91,0,1,,0,1,2019-03-07T15:39:47Z,2019-03-07T19:52:11Z,,0,0 days 04:12:24
Add lowest common ancestor to data structures,732,91,0,1,,0,2,2019-03-08T06:49:40Z,2019-04-10T15:59:49Z,2019-04-10T15:59:49Z,0,33 days 09:10:09
added Eulerian path and circuit for undirected graph,733,92,0,1,,3,3,2019-03-08T15:06:33Z,2019-05-04T22:44:44Z,,0,57 days 07:38:11
Wiggle_sort,734,21,0,1,Sorting technique used for arranging array elements.,0,2,2019-03-09T07:33:43Z,2019-03-17T18:12:23Z,2019-03-17T18:12:23Z,52,8 days 10:38:40
Fix '__bool__' method,735,1,1,1,The method returns the true when the stack is empty,0,2,2019-03-09T14:48:22Z,2019-03-10T02:10:30Z,2019-03-10T02:10:30Z,51,0 days 11:22:08
Add area_of_convex_poly and graham_scan,736,237,0,3,"Added Geometry folder with area_of_convex_poly and graham_scan included.

I opened a pull request with just the convex poly alg included about 5 months ago, but it never was reviewed. Lets try it again!",0,1,2019-03-18T19:25:31Z,2019-03-27T19:06:51Z,,204,8 days 23:41:20
 Factorial algorithm,737,18,0,1,Calculate the factorial of an arbitrary integer,1,2,2019-03-19T11:46:41Z,2019-03-20T12:36:18Z,,47,1 days 00:49:37
Create Searching in sorted matrix,738,27,0,1,,0,2,2019-03-20T07:43:20Z,2019-03-20T15:59:36Z,2019-03-20T15:59:36Z,0,0 days 08:16:16
Create is_Palindrome,740,77,0,1,,0,2,2019-03-24T13:56:01Z,2019-04-04T11:10:11Z,2019-04-04T11:10:11Z,0,10 days 21:14:10
reduce indentation in comments,741,10,10,1,,0,2,2019-03-24T18:48:47Z,2019-03-27T17:46:47Z,2019-03-27T17:46:47Z,0,2 days 22:58:00
More matrix algorithms,745,40,1,1,"Added functions for matrix transposition, identity, minor, determinant, and inverse.",0,2,2019-03-27T15:39:21Z,2019-03-27T17:50:44Z,2019-03-27T17:50:44Z,84,0 days 02:11:23
Added Trafid Cipher,746,86,0,1,"Hello, I've implemented Trifid cipher, I would appreciate contributing in such an interesting project!",0,2,2019-03-28T20:31:39Z,2019-04-03T19:27:37Z,2019-04-03T19:27:37Z,102,5 days 22:55:58
code in python,747,1,0,1,python code;,0,2,2019-04-03T08:47:08Z,2019-04-03T19:25:28Z,,12,0 days 10:38:20
InOrder Traversal for Binary Tree,748,16,0,1,Added a function to perform InOrder traversal on the binary tree.,0,2,2019-04-04T20:49:21Z,2019-04-07T15:53:51Z,2019-04-07T15:53:51Z,65,2 days 19:04:30
feature to add input,749,12,8,1,Since the already taken input nodes will not be sufficient so I wanted to add input to the file.,0,2,2019-04-06T16:22:36Z,2019-04-07T15:55:32Z,2019-04-07T15:55:32Z,96,0 days 23:32:56
added insert_into_tree and updated tests in main,750,25,13,2,"Small contribution, more to come if successful. 

λ python basic_binary_tree.py
Could not insert 1 value already exists
False
9

",0,1,2019-04-07T06:33:19Z,2019-04-07T14:07:45Z,,136,0 days 07:34:26
"Fix for failed pull requests, and addition of insert_into_tree method ",751,25,13,2,,2,2,2019-04-07T14:09:43Z,2019-12-04T03:53:11Z,,0,240 days 13:43:28
Rename is_Palindrome to is_Palindrome.py,752,0,0,1,,1,3,2019-04-07T15:53:04Z,2019-04-20T07:13:03Z,2019-04-20T07:13:03Z,0,12 days 15:19:59
Update caesar_cipher.py,753,0,1,1,,0,1,2019-04-11T12:20:48Z,2019-04-11T16:10:32Z,,0,0 days 03:49:44
Updated matrix addition and multiplication,755,2,21,1,These versions of matrix addition and multiplication are a little bit more efficient and easy to read.,2,3,2019-04-14T00:01:40Z,2019-12-12T00:09:56Z,,102,242 days 00:08:16
Fix Timsort Omitting 2nd last run,757,14,4,1,"Previous version would drop 2nd last run when sorting, test case would omit -18",1,3,2019-04-16T08:18:33Z,2019-12-12T00:09:56Z,,79,239 days 15:51:23
"Added solution for Problem 18, Project Euler",758,68,0,1,"Please find the attached screenshot.
![Capture](https://user-images.githubusercontent.com/25523604/56452826-7f8f2100-6354-11e9-8b50-2c6a00ab3032.PNG)
Do mention if I need to change something in my code to get the PR accepted :)",2,3,2019-04-20T04:41:54Z,2019-12-04T04:12:39Z,,229,227 days 23:30:45
Added Shamir Secret Sharing Scheme,759,42,0,1,"Ada Shamir's algorithm on sharing a secret among parties such that reconstruction is possible only when a no. of shares >= threshold are combined.
https://en.wikipedia.org/wiki/Secret_sharing
https://en.wikipedia.org/wiki/Shamir%27s_Secret_Sharing",2,2,2019-04-20T15:26:03Z,2019-12-12T00:09:55Z,,249,235 days 08:43:52
"Full Domain, Arbitrary bit-size hashing algorithm",760,22,0,1,"**Full Domain Hash Algorithm.**
The function with prototype `fdh(string,n)` generates a hash digest of _bitsize = n bits._ 
This is achieved by repeatedly appending an incremental value at the end of input string and calculation of SHA256 hash. These are concatenated to generate hash of desired bit size",2,3,2019-04-20T15:33:37Z,2019-12-11T00:10:22Z,,306,234 days 08:36:45
don't accept ,761,2,0,1,learning github soo leave it..... Thankyou,0,2,2019-04-21T03:25:19Z,2019-04-25T11:45:55Z,,42,4 days 08:20:36
Some directories had a capital in their name [fixed]. Added a recursi…,763,13,0,36,"Added a recursive factorial algorithm.

Some directories where duplicated, i.e. Maths and maths.
I removed the ones with the capital letters and now all directories have a lower case.",0,2,2019-04-21T05:51:47Z,2019-04-22T14:53:57Z,2019-04-22T14:53:57Z,186,1 days 09:02:10
"Use ==/!= to compare str, bytes, and int literals",767,7,7,3,"Identity is not the same thing as equality.  We want the latter.

$ __python__
```python
>>> raw = 'ra'
>>> raw += 'w'
>>> raw
'raw'
>>> raw == 'raw'
True
>>> raw is 'raw'
False
>>> 0 == 0.0
True
>>> 0 is 0.0
False
```

[flake8](http://flake8.pycqa.org) testing of https://github.com/TheAlgorithms/Python on Python 3.7.1

$ __flake8 . --count --select=E9,F63,F72,F82 --show-source --statistics__
```
./project_euler/problem_17/sol1.py:25:7: F632 use ==/!= to compare str, bytes, and int literals
			if i%100 is not 0:
      ^
./project_euler/problem_19/sol1.py:33:40: F632 use ==/!= to compare str, bytes, and int literals
		if day > days_per_month[month-1] and month is not 2:
                                       ^
./project_euler/problem_19/sol1.py:36:21: F632 use ==/!= to compare str, bytes, and int literals
		elif day > 29 and month is 2:
                    ^
./project_euler/problem_19/sol1.py:48:21: F632 use ==/!= to compare str, bytes, and int literals
	if year < 2001 and day is 1:
                    ^
./graphs/Directed and Undirected (Weighted) Graph.py:162:100: F821 undefined name 'on_the_way_back'
					if visited.count(__[1]) > 0 and __[1] != parent and indirect_parents.count(__[1]) > 0 and not on_the_way_back:
                                                                                                   ^
./graphs/Directed and Undirected (Weighted) Graph.py:209:100: F821 undefined name 'on_the_way_back'
					if visited.count(__[1]) > 0 and __[1] != parent and indirect_parents.count(__[1]) > 0 and not on_the_way_back:
                                                                                                   ^
./graphs/Directed and Undirected (Weighted) Graph.py:377:100: F821 undefined name 'on_the_way_back'
					if visited.count(__[1]) > 0 and __[1] != parent and indirect_parents.count(__[1]) > 0 and not on_the_way_back:
                                                                                                   ^
./graphs/Directed and Undirected (Weighted) Graph.py:424:100: F821 undefined name 'on_the_way_back'
					if visited.count(__[1]) > 0 and __[1] != parent and indirect_parents.count(__[1]) > 0 and not on_the_way_back:
                                                                                                   ^
4     F632 use ==/!= to compare str, bytes, and int literals
4     F821 undefined name 'on_the_way_back'
8
```
",0,2,2019-04-25T17:39:04Z,2019-05-16T11:26:46Z,2019-05-16T11:26:46Z,2448,20 days 17:47:42
Rename some variables name in quick_sort.py,768,8,8,1,"According to PEP 8 naming conventions, variable in function should be lowercase",0,2,2019-04-26T07:14:50Z,2019-04-26T09:43:52Z,2019-04-26T09:43:52Z,79,0 days 02:29:02
Odd-Even Transposition Sort,769,159,0,2,"Here are single and multi-threaded implementations of Odd-Even transposition sort.
It is an O(n) sorting algorithm that performs its swaps simultaneously.

https://en.wikipedia.org/wiki/Odd%E2%80%93even_sort",0,2,2019-04-26T18:51:39Z,2019-06-07T15:38:44Z,2019-06-07T15:38:43Z,210,41 days 20:47:04
Create Guessing_game.py,770,36,0,1,"This is small game made with python,In this game you have to guess any number and that print a status of your guess. For more information run program and please, read instruction.",3,4,2019-04-28T05:28:33Z,2019-12-03T09:05:10Z,,179,219 days 03:36:37
Quick Sort Pivot Picking Methods,772,119,0,3,Has 3 implementation of the Quick Sort algorithm that shows 3 different ways to pick the pivot point. Also has a readme to explain how the algorithm works.,2,2,2019-04-29T00:38:38Z,2019-04-29T04:13:12Z,,155,0 days 03:34:34
Quick Sort Pivot Picking Methods,773,119,0,3,,1,1,2019-04-29T04:14:17Z,2019-04-29T19:51:49Z,,0,0 days 15:37:32
Adding quick sort variant where random pivot point is chosen,774,33,0,1,,1,2,2019-04-29T20:02:34Z,2019-04-30T13:16:43Z,2019-04-30T13:16:43Z,0,0 days 17:14:09
Added an O(1) solution to problem 002,776,13,0,1,"Added a solution that uses the golden ratio, phi to determine the sum of even fibonacci numbers.",0,2,2019-05-01T10:18:55Z,2019-05-01T16:44:21Z,2019-05-01T16:44:21Z,96,0 days 06:25:26
"Binary_Cipher, Fixed Typo & Cell_Automatas",777,544,29,5,"Add new binary cipher.

Fixed a typo in Caesar, line 42 said encrpyt.",2,3,2019-05-01T17:56:28Z,2019-12-11T00:10:21Z,,71,223 days 06:13:53
adding jenkins file,779,58,2558,31,,0,2,2019-05-02T15:12:12Z,2019-06-07T15:37:47Z,,0,36 days 00:25:35
Added page-rank algorithm implementation,780,72,0,1,,6,3,2019-05-03T14:57:05Z,2019-05-12T11:46:48Z,2019-05-12T11:46:48Z,0,8 days 20:49:43
"Adding unit tests for sorting functions, and improving readability on some sorting algorithms",784,120,48,14,"### Content of the Pull Request:
* Improving readability on some existing sorting algorithms (insertion sort and merge sort)
* Renaming some sorting algorithms to have a name standard (as `sortname_sort`, `bubble_sort` instead of `bubblesort` or `bubbleSort` for example)
* Moving some algorithms examples inside the condition `if __name__ == '__main__'` to avoid their execution in case of import
* Adding unit tests to (nearly) all the existing sorting algorithms.",0,2,2019-05-05T00:23:02Z,2019-05-25T13:41:25Z,2019-05-25T13:41:25Z,470,20 days 13:18:23
added eulerian path and circuit finding algorithm,787,93,0,1,,0,2,2019-05-05T13:28:16Z,2019-05-16T11:20:29Z,2019-05-16T11:20:28Z,0,10 days 21:52:12
update 'sorted' to 'ascending sorted' in comments,789,12,12,1,To avoid confusion all 'sorted' to 'ascending sorted' in comments,0,2,2019-05-06T07:38:49Z,2019-05-06T09:54:32Z,2019-05-06T09:54:32Z,65,0 days 02:15:43
add-binary-exponentiation,790,25,0,1,Calculates base^(power) using only O(logn) multiplications,2,5,2019-05-07T15:09:11Z,2019-05-10T11:03:06Z,2019-05-10T11:03:06Z,58,2 days 19:53:55
fix: replaced outdated url,791,2,2,1,http://www.lpb-riannetrujillo.com/blog/python-fractal/ moved to http://www.riannetrujillo.com/blog/python-fractal/,0,2,2019-05-07T15:39:08Z,2019-05-08T19:48:31Z,2019-05-08T19:48:31Z,114,1 days 04:09:23
Sieve of Sundaram,792,19,0,1,"I like this algorithm not only for historical reasons, for n ~ 1000000 it has quite good performance - 0.01s for n = 100000 and 0.1s for n = 1000000 (IDEONE cpython 2.7.13)
Implementation tested on SPOJ problems.
",3,2,2019-05-08T10:26:31Z,2019-05-16T17:53:21Z,,215,8 days 07:26:50
"Interpolation search - fix endless loop bug, divide 0 bug and update description",793,160,24,3,"fix an endless bug, for example, if collection = [10,30,40,45,50,66,77,93], item = 67.

fix divide 0 bug,  when right=left it is not OK to point = left + ((item - sorted_collection[left]) * (right - left)) // (sorted_collection[right] - sorted_collection[left])

update 'sorted' to 'ascending sorted' in description to avoid confusion",0,2,2019-05-09T08:24:01Z,2019-05-18T02:59:13Z,2019-05-18T02:59:13Z,338,8 days 18:35:12
Created shortest path using bfs,794,43,0,1,,0,2,2019-05-10T03:06:57Z,2019-05-17T03:12:06Z,2019-05-17T03:12:06Z,0,7 days 00:05:09
[FIX] maths/PrimeCheck,796,48,7,1,"Current implementation is buggy and hard to read.

* Negative values were raising a TypeError due to `math.sqrt`
* 1 was considered prime, it is not.
* 2 was considered not prime, it is.

The implementation has been corrected to fix the bugs and to enhance
readability.

A docstring has been added with the definition of a prime number.

A complete test suite has been written, it tests the 10 first primes, a
negative value, 0, 1 and some not prime numbers.

closes #795",1,3,2019-05-10T12:01:26Z,2019-05-11T11:20:26Z,2019-05-11T11:20:26Z,485,0 days 23:19:00
Added treap,797,129,0,1,Added basic implementation of treap. In future it is possible to add mass operations and implicit key treap.,1,3,2019-05-10T13:19:23Z,2019-05-25T22:20:38Z,2019-05-25T22:20:38Z,108,15 days 09:01:15
Added Huffman Coding Algorithm,798,87,0,1,"Implemented Huffman Coding, taught in courses as a basic compression algorithm.",0,3,2019-05-11T02:20:10Z,2019-05-13T05:15:28Z,2019-05-13T05:15:28Z,79,2 days 02:55:18
Create combinatorics.py,799,27,0,1,"Create combinatorics folder and add basic functions. Hope to add more interesting examples (ie. Stirling number of the second kind, and wrapper functions for [counting number of outputs of a function)](https://math.stackexchange.com/questions/333497/how-many-one-to-one-and-onto-functions-are-there-between-two-finite-sets)

This is my first pull request, if I made a mistake, please help me rectify it
",3,3,2019-05-11T05:35:28Z,2019-12-03T09:05:47Z,,406,206 days 03:30:19
Style Changes to FindMin.py,800,7,7,1,Added changes to the style of FindMin.py to match FindMax.py,0,2,2019-05-11T15:01:59Z,2019-05-12T21:24:05Z,,60,1 days 06:22:06
Added Harris Feature Detector to Digital Image Processing,801,55,0,2,"An implementation of Harris Detector[1].

[1]C. Harris and M. Stephens, “A Combined Corner and Edge Detector,” in Proceedings of Alvey Vision Conference 1988, Manchester, 1988, pp. 23.1-23.6.
",1,2,2019-05-11T19:29:58Z,2019-12-11T00:10:20Z,,195,213 days 04:40:22
enhancement,803,6,11,1,,0,2,2019-05-13T16:21:23Z,2019-05-16T11:20:43Z,2019-05-16T11:20:43Z,0,2 days 18:59:20
More elegant coding for merge_sort_fastest,804,55,44,2,"Replace

```
def merge_sort(LIST):
    start = []
    end = []
    while len(LIST) > 1:
        a = min(LIST)
        b = max(LIST)
        start.append(a)
        end.append(b)
        LIST.remove(a)
        LIST.remove(b)
    if LIST: start.append(LIST[0])
    end.reverse()
    return (start + end)
```

with

```
def merge_sort(collection):
    start, end = [], []
    while len(collection) > 1:
        min_one, max_one = min(collection), max(collection)
        start.append(min_one)
        end.append(max_one)
        collection.remove(min_one)
        collection.remove(max_one)
    end.reverse()
    return start + collection + end
```",1,2,2019-05-14T05:04:11Z,2019-05-14T10:17:26Z,2019-05-14T10:17:26Z,676,0 days 05:13:15
增加了缓存位置及缓存问题相关示例 ,709,35,4,1,,3,2,2019-05-18T03:56:14Z,2019-05-21T02:52:47Z,2019-05-21T02:52:47Z,0,2 days 22:56:33
前端面试每日3+1开源项目,712,132,0,1,增加前端面试每日3+1开源项目,0,2,2019-05-21T01:17:16Z,2019-05-21T02:52:31Z,2019-05-21T02:52:31Z,15,0 days 01:35:15
Update Java 虚拟机.md,715,2,2,1,栈大小设置为512M明显不合理，修改为2M,0,2,2019-05-27T01:51:57Z,2019-06-04T13:47:05Z,2019-06-04T13:47:05Z,21,8 days 11:55:08
Update Leetcode 题解 - 动态规划.md,716,1,1,1,勘误,0,2,2019-05-30T03:54:02Z,2019-06-04T13:41:38Z,2019-06-04T13:41:38Z,2,5 days 09:47:36
Made English translation of the ReadMe,718,22,16,1,Translated main topic headings on the readme to English for English readers,3,3,2019-06-01T21:45:38Z,2019-06-04T14:22:46Z,2019-06-04T14:22:45Z,75,2 days 16:37:07
Leetcode 题解 - 链表.md-新增了关于链表有交点的说明,719,1,1,1,,0,2,2019-06-04T04:14:18Z,2019-06-04T13:40:49Z,2019-06-04T13:40:49Z,0,0 days 09:26:31
Update Leetcode 题解 - 链表.md,720,2,0,1,,2,2,2019-06-04T05:13:46Z,2019-06-04T13:34:14Z,,0,0 days 08:20:28
删除一些文件,721,0,3,1,删除一些文件,1,2,2019-06-13T04:23:07Z,2019-06-13T05:30:53Z,,6,0 days 01:07:46
Add height auto in input-group,28904,1,0,1,Closes #28901,2,4,2019-06-15T12:37:35Z,2020-02-15T20:21:25Z,,13,245 days 07:43:50
Don't open dropdown on ESC on trigger element,28912,29,0,2,"Closes #28751

(doesn't need porting to v5, as there the issue doesn't appear to be present anymore)",9,2,2019-06-17T12:23:41Z,2019-06-17T13:50:44Z,2019-06-17T13:50:44Z,102,0 days 01:27:03
Port new unit test for dropdown from v4,28913,25,0,1,Add unit test from https://github.com/twbs/bootstrap/pull/28912 to v5,2,3,2019-06-17T13:16:37Z,2019-06-25T11:57:42Z,2019-06-25T11:57:42Z,69,7 days 22:41:05
"Add ""add"" and ""subtract"" func to return valid calc",28915,108,32,9,"Fixes #28792

Add the two Sass functions (`add()`, `subtract()`) to return a valid `calc`. These functions basically return a calc expression, but if one value is 0 the functions return another value.

e.g.
```scss
div {
  padding: add(1rem, 1px);  // calc(1rem + 1px)
  padding: add(1rem, 0);    // 1rem
}
```

The each functions has the third argument (boolean). If `true`, the expression is returned with wrapped by `calc`, but if `false`, the expression is not wrapped with `calc`. The default is `true`. This option is intended for use in complex nested expressions:

e.g.
```scss
div {
  padding: add(1rem, add(1em, 1px));         // calc(1rem + calc(1em + 1px)) : invalid in IE
  padding: add(1rem, add(1em, 1px, false));  // calc(1rem + 1em + 1px) : valid in IE
}
```

* [x] add calc() to stylelint function-blacklist",15,4,2019-06-17T15:22:58Z,2019-10-31T06:30:55Z,2019-10-31T06:30:55Z,847,135 days 15:07:57
Reboot updates,28917,281,220,9,"- ~Inherit box-sizing and set `box-sizing: border-box;` on body
  This makes it possible for 3th party components to use `box-sizing: content-box` by just applying the box-sizing to the wrapper div.~ Nope: https://github.com/twbs/bootstrap/pull/28917#issuecomment-512039100
- Remove unsupported browsers fixes (IE10 & Firefox 39-)
- More consistent comment blocks
- Reorganise order of some blocks
- Add height fix for date/month/week/time inputs (#18842, this was already fixed by adding a height to form controls, with this change we don't need to set the height anymore)
- Remove redundant type selectors for some pseudo elements
- Additional resets and theming options for `legend`
- Element theming from `_code.scss` moved to reboot
- All input fields now have the same borders

**Todo:**
- [ ] Merge code page with reboot page

Result: https://deploy-preview-28917--twbs-bootstrap.netlify.com/docs/4.3/content/reboot/",5,4,2019-06-17T19:01:03Z,2019-07-25T17:26:28Z,2019-07-25T17:26:28Z,937,37 days 22:25:25
Typo fix,28920,1,1,1,"@XhmikosR, this page lost its git history since the Hugo switch, so probably we'll need a new PR for `v4`?",1,2,2019-06-18T06:23:22Z,2019-06-18T07:43:16Z,2019-06-18T07:43:16Z,106,0 days 01:19:54
